fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type
7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,6,White
5.9,0.27,0.32,2,0.034,31,102,0.98952,3.16,0.56,12.3,6,White
7.5,0.34,0.28,4,0.028,46,100,0.98958,3.2,0.5,13.2,7,White
5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7,White
5.6,0.295,0.26,1.1,0.035,40,102,0.99154,3.47,0.56,10.6,6,White
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7,Red
7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12,7,White
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4,White
6,0.22,0.23,5,0.045,10,122,0.99261,2.94,0.63,10,6,White
8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5,Red
8.9,0.21,0.34,7.1,0.037,33,150,0.9962,3.1,0.45,9.7,6,White
7.3,0.19,0.27,13.9,0.057,45,155,0.99807,2.94,0.41,8.8,8,White
7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,5,White
6.4,0.3,0.36,2,0.052,18,141,0.99273,3.38,0.53,10.5,6,White
7.2,0.21,0.33,3,0.036,35,132,0.9928,3.25,0.4,11,6,White
6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,6,Red
7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4,5,Red
7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,6,Red
6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6,Red
7.6,0.21,0.44,1.9,0.036,10,119,0.9913,3.01,0.7,12.8,6,White
6.8,0.4,0.29,2.8,0.044,27,97,0.9904,3.12,0.42,11.2,6,White
7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,5,Red
7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,6,White
6.4,0.27,0.29,3.9,0.034,62,140,0.99237,3.1,0.59,11.1,6,White
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7,Red
6.4,0.21,0.3,5.6,0.044,43,160,0.9949,3.6,0.41,10.6,6,White
6.3,0.27,0.46,11.75,0.037,61,212,0.9971,3.25,0.53,9.5,6,White
5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,6,White
9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,5,White
5.7,0.25,0.27,11.5,0.04,24,120,0.99411,3.33,0.31,10.8,6,White
6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6,Red
7.4,0.2,0.33,1.9,0.035,39,138,0.991,3.17,0.44,11.7,7,White
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7,Red
7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6,Red
6.3,0.255,0.37,1.1,0.04,37,114,0.9905,3,0.39,10.9,6,White
5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,8,White
13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5,Red
6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1,5,Red
6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3,5,White
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,White
5.1,0.165,0.22,5.7,0.047,42,146,0.9934,3.18,0.55,9.9,6,White
9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,6,Red
5.8,0.385,0.25,3.7,0.031,38,122,0.99128,3.2,0.63,11.2,6,White
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7,White
8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,5,Red
7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5,White
7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7,White
6.5,0.23,0.45,2.1,0.027,43,104,0.99054,3.02,0.52,11.3,6,White
10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6,Red
7.5,0.4,0.18,1.6,0.079,24,58,0.9965,3.34,0.58,9.4,5,Red
6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7,White
5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3,7,White
7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,5,White
5.9,0.55,0.1,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,6,Red
6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6,White
6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5,White
7.4,0.29,0.28,10.2,0.032,43,138,0.9951,3.1,0.47,10.6,6,White
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,Red
6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5,White
12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,7,Red
7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5,White
7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5,Red
7.5,0.33,0.36,2.6,0.051,26,126,0.99097,3.32,0.53,12.7,6,White
8.1,0.26,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,6,White
7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,5,White
5.6,0.26,0.5,11.4,0.029,25,93,0.99428,3.23,0.49,10.5,6,White
7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,5,White
8.2,0.18,0.38,1.1,0.04,41,92,0.99062,2.88,0.6,12,6,White
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5,White
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6,White
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,White
9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5,Red
7.6,0.17,0.35,1.6,0.047,43,154,0.9934,3.36,0.69,11.1,6,White
6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,6,Red
6.8,0.14,0.35,1.5,0.047,40,117,0.99111,3.07,0.72,11.1,6,White
7.1,0.27,0.31,18.2,0.046,55,252,1,3.07,0.56,8.7,5,White
6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,5,Red
6.3,0.21,0.33,13.9,0.046,68,179,0.9971,3.36,0.5,10.4,6,White
7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,5,White
6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,6,Red
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5,Red
7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4,7,White
8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7,White
5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,5,White
8.3,0.2,0.49,1.7,0.038,38,167,0.9939,3.05,0.37,10.1,6,White
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3,White
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,Red
6,0.24,0.41,1.3,0.036,42,118,0.99018,3.04,0.64,11.75,6,White
7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5,Red
6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,3,Red
5.7,0.23,0.28,9.65,0.025,26,121,0.9925,3.28,0.38,11.3,6,White
6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,5,White
7.2,0.35,0.25,5.6,0.032,23,120,0.99334,2.93,0.66,10.3,7,White
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,Red
6.8,0.24,0.33,3.2,0.049,68,161,0.99324,3.1,0.69,10.2,6,White
5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5,White
6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5,White
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7,Red
6.4,0.28,0.36,1.3,0.053,28,186,0.99211,3.31,0.45,10.8,5,White
7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,7,White
6.6,0.24,0.33,10.1,0.032,8,81,0.99626,3.19,0.51,9.8,6,White
7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6,Red
8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5,Red
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,White
8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6,Red
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5,Red
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6,Red
6.2,0.57,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,6,Red
7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7,Red
6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,5,White
6.6,0.22,0.36,5.5,0.029,30,105,0.99206,3.2,0.47,11.8,6,White
5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10,6,White
8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,5,Red
5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6,Red
7.9,0.22,0.38,8,0.043,46,152,0.9934,3.12,0.32,11.5,7,White
7.2,0.2,0.25,4.5,0.044,31,109,0.9949,3.23,0.36,9.4,5,White
6.7,0.64,0.3,1.2,0.03,18,76,0.9892,3.16,0.6,12.9,4,White
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,White
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5,White
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5,White
6,0.43,0.34,7.6,0.045,25,118,0.99222,3.03,0.37,11,6,White
7.1,0.23,0.39,13.7,0.058,26,172,0.99755,2.9,0.46,9,6,White
8,0.37,0.32,1.6,0.04,32,166,0.992,3,0.55,11.3,7,White
6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5,White
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,Red
7.3,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,5,Red
6.2,0.3,0.33,3.5,0.037,37,155,0.98987,3.18,0.37,12.4,6,White
8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5,White
8.1,0.3,0.49,8.1,0.037,26,174,0.9943,3.1,0.3,11.2,7,White
6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5,Red
8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,7,Red
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5,White
7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7,White
8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,7,Red
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5,White
7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2,7,White
6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5,White
7.8,0.24,0.18,6.7,0.046,33,160,0.9963,3.2,0.56,9.8,6,White
7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,5,Red
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,Red
6.1,0.2,0.34,9.5,0.041,38,201,0.995,3.14,0.44,10.1,3,White
5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,5,White
6.7,0.34,0.26,1.9,0.038,58,138,0.9893,3,0.47,12.2,7,White
7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6,White
7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5,White
5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8,White
6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6,White
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6,White
6.6,0.29,0.31,3.9,0.027,39,96,0.99035,3.24,0.6,12.6,8,White
6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,7,White
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7,White
7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,6,Red
6.9,0.2,0.4,7.7,0.032,51,176,0.9939,3.22,0.27,11.4,5,White
5.9,0.23,0.24,1.6,0.037,32,115,0.99076,3.21,0.51,11.4,6,White
6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,6,White
6.6,0.24,0.24,8.6,0.034,25,135,0.99582,3.33,0.59,10.3,6,White
5.9,0.27,0.27,9,0.051,43,136,0.9941,3.25,0.53,10.7,6,White
6.6,0.21,0.5,8.7,0.036,41,191,0.99294,2.96,0.56,11,6,White
6.7,0.46,0.27,5.2,0.039,35,96,0.99129,3.16,0.44,12.4,7,White
6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,6,White
7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5,White
6.6,0.15,0.34,1,0.037,45,79,0.98949,2.96,0.5,11.7,6,White
6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,4,Red
8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,6,White
6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5,7,White
6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6,White
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,White
5.7,0.23,0.25,7.95,0.042,16,108,0.99486,3.44,0.61,10.3,6,White
6.6,0.25,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1,7,White
6.3,0.19,0.33,10.1,0.063,63,133,0.99561,2.86,0.41,9.1,5,White
6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7,White
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,Red
12,0.28,0.49,1.9,0.074,10,21,0.9976,2.98,0.66,9.9,7,Red
5.8,0.29,0.33,3.7,0.029,30,88,0.98994,3.25,0.42,12.3,6,White
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7,Red
8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6,White
8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,5,Red
6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1,5,White
5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5,Red
7.1,0.43,0.25,2.8,0.036,43,132,0.98975,3.21,0.47,13.4,6,White
8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,4,White
6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5,White
6.3,0.33,0.2,5.8,0.04,24,144,0.99425,3.15,0.63,9.9,5,White
6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9,5,White
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6,White
7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,6,Red
6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6,White
7.9,0.34,0.44,6.5,0.027,47,126,0.99124,2.96,0.37,12.5,6,White
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,Red
7,0.23,0.42,5.1,0.042,37,144,0.99518,3.5,0.59,10.2,6,White
6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,6,White
6.4,0.55,0.26,9.6,0.027,20,104,0.9924,3.22,0.73,13.1,6,White
9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,5,Red
7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,6,Red
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,White
9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5,Red
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,White
6.1,0.32,0.24,1.5,0.036,38,124,0.9898,3.29,0.42,12.4,7,White
6.5,0.28,0.25,4.8,0.029,54,128,0.99074,3.17,0.44,12.2,7,White
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4,White
6,0.27,0.3,14.7,0.044,15,144,0.99666,3.12,0.53,10.3,6,White
6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6,Red
7.3,0.37,0.16,14.9,0.048,59,240,0.99902,3.13,0.45,8.9,5,White
6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9,5,White
6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,5,White
7.1,0.47,0.24,6,0.044,11,77,0.9956,3.21,0.56,9.7,5,White
7.4,0.21,0.3,7.9,0.039,14,118,0.9942,2.96,0.34,10.4,5,White
8.2,0.29,0.33,9.1,0.036,28,118,0.9953,2.96,0.4,10.9,7,White
6.7,0.37,0.25,2.5,0.028,24,84,0.9909,3.14,0.36,11.7,6,White
9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,5,Red
6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8,White
6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11,6,White
6.2,0.18,0.3,1,0.031,23,73,0.99032,3.23,0.52,11.3,6,White
6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7,5,White
8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,6,Red
6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,7,White
7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7,White
4.7,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.5,5,White
7,0.15,0.38,2.2,0.047,33,96,0.9928,3.13,0.39,10.4,8,White
6.3,0.16,0.4,1.6,0.033,59,148,0.9914,3.44,0.53,11.4,5,White
6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,5,White
6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,6,White
11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5,Red
6.8,0.34,0.74,2.8,0.088,23,185,0.9928,3.51,0.7,12,6,White
4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,6,White
6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,5,White
6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5,White
6.9,0.38,0.25,9.8,0.04,28,191,0.9971,3.28,0.61,9.2,5,White
6.8,0.33,0.3,2.1,0.047,35,147,0.9886,3.24,0.56,13.4,6,White
6.3,0.22,0.33,1.7,0.041,67,164,0.9928,3.32,0.56,10.4,6,White
7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,5,White
9.6,0.21,0.28,1.2,0.038,12,53,0.9926,2.8,0.46,10.6,5,White
7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6,White
6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7,White
6.8,0.24,0.49,19.3,0.057,55,247,1.00055,3,0.56,8.7,5,White
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,Red
7,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6,White
7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5,Red
6.7,0.33,0.34,7.5,0.036,39,124,0.99123000000000006,2.99,0.32,12.4,8,White
7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,6,Red
7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5,White
6.6,0.16,0.34,1.1,0.037,41,115,0.9899,3.01,0.68,12,6,White
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5,White
7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,6,Red
11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6,Red
7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6,White
6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,4,Red
9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6,Red
6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3,5,White
6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,8,White
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6,White
9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5,Red
7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,7,White
6.4,0.24,0.26,8.2,0.054,47,182,0.99538,3.12,0.5,9.5,5,White
7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,6,Red
11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,6,Red
6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,4,White
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5,Red
7.8,0.445,0.56,1,0.04,8,84,0.9938,3.25,0.43,10.8,5,White
6,0.28,0.52,6.2,0.028,37,104,0.99161,3.28,0.51,11.8,7,White
6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,6,Red
7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,5,Red
7.1,0.18,0.39,15.25,0.047,45,158,0.99946,3.34,0.77,9.1,6,White
5.8,0.31,0.32,4.5,0.024,28,94,0.98906,3.25,0.52,13.7,7,White
6.6,0.21,0.36,0.8,0.034,48,113,0.99165,3.24,0.68,10.5,6,White
5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,6,White
5.8,0.38,0.26,1.1,0.058,20,140,0.99271,3.27,0.43,9.7,6,White
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5,White
7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7,Red
7.1,0.28,0.35,3.5,0.028,35,91,0.99022,2.96,0.33,12.1,5,White
9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,6,Red
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6,Red
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5,White
7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5,White
6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,6,White
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,White
6.7,0.28,0.28,4.5,0.051,14,92,0.99224,3.36,0.58,11.9,6,White
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,White
7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,White
5.4,0.27,0.22,4.6,0.022,29,107,0.98889,3.33,0.54,13.8,6,White
6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,5,White
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5,Red
6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,6,Red
10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,6,Red
7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5,White
6.1,0.21,0.38,1.5,0.039,37,122,0.98972,3.2,0.43,12,6,White
7.4,0.35,0.33,2.4,0.068,9,26,0.9947,3.36,0.6,11.9,6,Red
5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5,5,White
7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,5,White
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8,White
6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6,White
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,Red
7,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,6,White
6.9,0.21,0.28,2.4,0.056,49,159,0.9944,3.02,0.47,8.8,8,White
6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5,White
6.8,0.24,0.34,2.7,0.047,64.5,218.5,0.9934,3.3,0.58,9.7,6,White
8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10,5,Red
7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,5,White
7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3,0.54,10.9,6,White
7.6,0.32,0.58,16.75,0.05,43,163,0.9999,3.15,0.54,9.2,5,White
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5,White
7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,6,White
6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,6,White
6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5,White
8,0.3,0.63,1.6,0.081,16,29,0.99588,3.3,0.78,10.8,6,Red
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,White
6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6,Red
6.8,0.22,0.37,1.7,0.036,38,195,0.9908,3.35,0.72,12.5,6,White
7.1,0.29,0.49,1.2,0.031,32,99,0.9893,3.07,0.33,12.2,6,White
7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5,Red
6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,6,White
5.8,0.32,0.31,2.7,0.049,25,153,0.99067,3.44,0.73,12.2,7,White
7.8,0.27,0.33,2.4,0.053,36,175,0.992,3.2,0.55,11,6,White
